Method,nfev,error_inf
Euler,50,7.185701470908038
Euler,100,2.4999203034572868
Euler,200,0.9729686912233878
Euler,400,0.6041883120520355
Euler,800,0.31233355981769506
RK4,200,0.9378370142402654
RK4,400,0.09565125070131764
RK4,800,0.13038202941167598
RK4,1600,0.013906442223417304
RK4,3200,0.00011547526213062653
RKF45,480,7.717468684897977e-05
RKF45,582,8.587348315103327e-06
RKF45,708,2.9462478694508576e-06
RKF45,954,2.1585531495560417e-07
RKF45,1410,3.535591996950416e-08
RKF45,2274,2.5382485002722888e-09
